Date,Open,High,Low,Close,Adjusted_close,Volume
2022-01-25,158.98,162.76,157.02,159.78,159.1215,115798400
2022-01-26,163.5,164.39,157.82,159.69,159.0319,108275300
2022-01-27,162.45,163.84,158.28,159.22,158.5639,121954600
2022-01-28,165.71,170.35,162.8,170.33,169.6281,179935700
2022-01-31,170.16,175,169.51,174.78,174.0597,115541600
2022-02-01,174.01,174.84,172.31,174.61,173.8904,86213900
2022-02-02,174.75,175.88,173.33,175.84,175.1154,84914300
2022-02-03,174.48,176.24,172.12,172.9,172.1875,89418100
2022-02-04,171.68,174.1,170.68,172.39,171.8983,82465400
2022-02-07,172.86,173.95,170.95,171.66,171.1704,77251200
2022-02-08,171.73,175.35,171.43,174.83,174.3313,74829200
2022-02-09,176.05,176.65,174.9,176.28,175.7772,71285000
2022-02-10,174.14,175.48,171.55,172.12,171.6291,90865900
2022-02-11,172.33,173.08,168.04,168.64,168.159,98670700
2022-02-14,167.37,169.58,166.56,168.88,168.3983,86185500
2022-02-15,170.97,172.95,170.25,172.79,172.2972,62527400
2022-02-16,171.85,173.34,170.05,172.55,172.0579,61177400
2022-02-17,171.03,171.91,168.47,168.88,168.3983,69589300
2022-02-18,169.82,170.54,166.19,167.3,166.8228,82772700
2022-02-22,164.98,166.69,162.15,164.32,163.8513,91162800
2022-02-23,165.54,166.15,159.75,160.07,159.6134,90009200
2022-02-24,152.58,162.85,152,162.74,162.2758,141147500
2022-02-25,163.84,165.12,160.87,164.85,164.3798,91974200
2022-02-28,163.06,165.42,162.43,165.12,164.649,95056600
2022-03-01,164.7,166.6,161.97,163.2,162.7345,83474400
2022-03-02,164.39,167.36,162.95,166.56,166.0849,79724800
2022-03-03,168.47,168.91,165.55,166.23,165.7559,76678400
2022-03-04,164.49,165.55,162.1,163.17,162.7046,83737200
2022-03-07,163.36,165.02,159.04,159.3,158.8456,96418800
2022-03-08,158.82,162.88,155.8,157.44,156.9909,131148300
2022-03-09,161.48,163.41,159.41,162.95,162.4852,91454900
2022-03-10,160.2,160.39,155.98,158.52,158.0679,105342000
2022-03-11,158.93,159.28,154.5,154.73,154.2887,96970100
2022-03-14,151.45,154.12,150.1,150.62,150.1904,108732100
2022-03-15,150.9,155.57,150.38,155.09,154.6477,92964300
2022-03-16,157.05,160,154.46,159.59,159.1348,102300200
2022-03-17,158.61,161,157.63,160.62,160.1619,75615400
2022-03-18,160.51,164.48,159.76,163.98,163.5123,123511700
2022-03-21,163.51,166.35,163.01,165.38,164.9083,95811400
2022-03-22,165.51,169.42,164.91,168.82,168.3385,81532000
2022-03-23,167.99,172.64,167.65,170.21,169.7245,98062700
2022-03-24,171.06,174.14,170.21,174.07,173.5735,90131400
2022-03-25,173.88,175.28,172.75,174.72,174.2217,80546200
2022-03-28,172.17,175.73,172,175.6,175.0992,90371900
2022-03-29,176.69,179.01,176.34,178.96,178.4496,100589400
2022-03-30,178.55,179.61,176.7,177.77,177.263,92633200
